Название товара или услуги,Цена продажи,Краткое описание,Изображения,Размещение на сайте,old url,Свойство:РАЗМЕР
Брюки - Волны вселенной,"19800,00.","
						<span class=""value"" itemprop=""description""><p>Мягкие брюки с высокой посадкой, выполены из двух видов ткани: хлопковый трикотаж и нежный хлопковый батист.</p>
<p>Модель декорирована разными отстрочками и волнообразным принтом.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_9240.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9227.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9234.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9244.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9228.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/brjuki-volny-vselennoj.html,L
Куртка - Волны вселенной,"32000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Куртка - бомбер на молнии, из плотной водоотталкивающей ткани с волнообразным принтом.<span class=""Apple-converted-space"">&nbsp;</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_9830_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9824.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9827.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9821.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9825.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9829.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9840.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/kurtka-volny-vselennoj.html,M
Куртка - Волны вселенной,"32000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Куртка - бомбер на молнии, из плотной водоотталкивающей ткани с волнообразным принтом.<span class=""Apple-converted-space"">&nbsp;</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_9830_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9824.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9827.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9821.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9825.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9829.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9840.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/kurtka-volny-vselennoj.html,L
Худи - Лёгкий хулиган,"20000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Объёмный худи из хлопкового футера, украшен швами «наружу» и серыми отстрочками.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p1"">На рукавах и по бокам худи декорирован молнией, которую можно расстегнуть и дать дополнительный оверсайз вещи.</p>
<p class=""p1"">Расстегивая и застегиваю молнии, создаётся акцент на рукава или низ изделия.<span class=""Apple-converted-space"">&nbsp;</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0713_2_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0703_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0716_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0717_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0719_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0722_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0715_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0707_2.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-ljogkij-huligan.html,S
Худи - Лёгкий хулиган,"20000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Объёмный худи из хлопкового футера, украшен швами «наружу» и серыми отстрочками.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p1"">На рукавах и по бокам худи декорирован молнией, которую можно расстегнуть и дать дополнительный оверсайз вещи.</p>
<p class=""p1"">Расстегивая и застегиваю молнии, создаётся акцент на рукава или низ изделия.<span class=""Apple-converted-space"">&nbsp;</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0713_2_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0703_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0716_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0717_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0719_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0722_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0715_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0707_2.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-ljogkij-huligan.html,M
Худи - Лёгкий хулиган,"20000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Объёмный худи из хлопкового футера, украшен швами «наружу» и серыми отстрочками.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p1"">На рукавах и по бокам худи декорирован молнией, которую можно расстегнуть и дать дополнительный оверсайз вещи.</p>
<p class=""p1"">Расстегивая и застегиваю молнии, создаётся акцент на рукава или низ изделия.<span class=""Apple-converted-space"">&nbsp;</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0713_2_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0703_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0716_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0717_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0719_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0722_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0715_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0707_2.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-ljogkij-huligan.html,L
Брюки - Базальт,"36000,00.","
						<span class=""value"" itemprop=""description""><p>Широкие брюки из трех видов денима с декоративной отстрочкой, наполнены вниманием в деталям.&nbsp;</p>
<p class=""p1"">В сложном рисунке<span class=""Apple-converted-space""> вещи</span>&nbsp;- сочетание разных фактур ткани.</p>
<p class=""p1"">Источником вдохновения стала структура&nbsp;природного камня&nbsp; магматического происхождения - базальта&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8593_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_8595_2.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0697.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0698.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0696.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0692.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0674_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0676.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/brjuki-bazal-t.html,S
Брюки - Базальт,"36000,00.","
						<span class=""value"" itemprop=""description""><p>Широкие брюки из трех видов денима с декоративной отстрочкой, наполнены вниманием в деталям.&nbsp;</p>
<p class=""p1"">В сложном рисунке<span class=""Apple-converted-space""> вещи</span>&nbsp;- сочетание разных фактур ткани.</p>
<p class=""p1"">Источником вдохновения стала структура&nbsp;природного камня&nbsp; магматического происхождения - базальта&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8593_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_8595_2.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0697.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0698.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0696.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0692.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0674_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0676.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/brjuki-bazal-t.html,M
Брюки - Базальт,"36000,00.","
						<span class=""value"" itemprop=""description""><p>Широкие брюки из трех видов денима с декоративной отстрочкой, наполнены вниманием в деталям.&nbsp;</p>
<p class=""p1"">В сложном рисунке<span class=""Apple-converted-space""> вещи</span>&nbsp;- сочетание разных фактур ткани.</p>
<p class=""p1"">Источником вдохновения стала структура&nbsp;природного камня&nbsp; магматического происхождения - базальта&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8593_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_8595_2.jpg, https://pirosmani.info/media/catalog/product/i/m/img_0697.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0698.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0696.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0692.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0674_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0676.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/brjuki-bazal-t.html,L
Куртка - Интерстеллар,"52000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Уникальная куртка выполнена из лоскутов хлопковой ткани, черной, синей джинсы, и кусочков картины.</p>
<p class=""p1"">Все детали соединены с помощью вышивки в виде зигзагов и звезд. В философии этой вещи - разумное потребление, бережное отношение к земле, возвышение человеческого труда - как искусства.<span class=""Apple-converted-space"">&nbsp;</span></p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_0083_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0084.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0089_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0092.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0092_2.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_0094.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/kurtka-interstellar.html,null
Худи - Бегущий по лезвию,"27000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">В центре этой мини-серии принтов обращение к наследию Густава Мецгера,&nbsp;художественным методом стало разрушение первоначальной формы объектов.</p>
<p class=""p1"">Смешение различных фактур и техник способствует мимикрии материалов.</p>
<p class=""p1"">Монохромный принт на худи выполнен в двух техниках и копирует форму архивных прототипов детали, пришитой к пиджаку. Орнамент автоматического рисунка в технике батика на рукавах, капюшоне и спине обрамляет прозрачную аэрографию плавных органических форм.</p></span>
		","https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_09_1.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_22.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_12.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_15_16.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_03.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_15_46.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-beguschij-po-lezviju.html,XS
Худи - Бегущий по лезвию,"27000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">В центре этой мини-серии принтов обращение к наследию Густава Мецгера,&nbsp;художественным методом стало разрушение первоначальной формы объектов.</p>
<p class=""p1"">Смешение различных фактур и техник способствует мимикрии материалов.</p>
<p class=""p1"">Монохромный принт на худи выполнен в двух техниках и копирует форму архивных прототипов детали, пришитой к пиджаку. Орнамент автоматического рисунка в технике батика на рукавах, капюшоне и спине обрамляет прозрачную аэрографию плавных органических форм.</p></span>
		","https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_09_1.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_22.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_12.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_15_16.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_03.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_15_46.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-beguschij-po-lezviju.html,S
Худи - Бегущий по лезвию,"27000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">В центре этой мини-серии принтов обращение к наследию Густава Мецгера,&nbsp;художественным методом стало разрушение первоначальной формы объектов.</p>
<p class=""p1"">Смешение различных фактур и техник способствует мимикрии материалов.</p>
<p class=""p1"">Монохромный принт на худи выполнен в двух техниках и копирует форму архивных прототипов детали, пришитой к пиджаку. Орнамент автоматического рисунка в технике батика на рукавах, капюшоне и спине обрамляет прозрачную аэрографию плавных органических форм.</p></span>
		","https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_09_1.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_22.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_12.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_15_16.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_03.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_15_46.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-beguschij-po-lezviju.html,M
Худи - Бегущий по лезвию,"27000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">В центре этой мини-серии принтов обращение к наследию Густава Мецгера,&nbsp;художественным методом стало разрушение первоначальной формы объектов.</p>
<p class=""p1"">Смешение различных фактур и техник способствует мимикрии материалов.</p>
<p class=""p1"">Монохромный принт на худи выполнен в двух техниках и копирует форму архивных прототипов детали, пришитой к пиджаку. Орнамент автоматического рисунка в технике батика на рукавах, капюшоне и спине обрамляет прозрачную аэрографию плавных органических форм.</p></span>
		","https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_09_1.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_22.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_12.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_15_16.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_14_03.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_15_46.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-beguschij-po-lezviju.html,L
Рубашка - Рассвет над озером,"12000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Белая рубашка из натурального&nbsp;хлопка, асимметричного кроя, с декоративными отлетными элементами.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p2"">Рубашка расписана вручную, в два приёма: чёрной и розовой краской. Для этой уникальной росписи дизайнер использовала два типа кисти.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p2"">Погрузиться в процесс создания можно по ссылке&nbsp;https://www.instagram.com/reel/CwaeWHYsdxM/</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_9416.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9418.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9417_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/rubashka-rassvet-nad-ozerom.html,S
Рубашка - Рассвет над озером,"12000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Белая рубашка из натурального&nbsp;хлопка, асимметричного кроя, с декоративными отлетными элементами.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p2"">Рубашка расписана вручную, в два приёма: чёрной и розовой краской. Для этой уникальной росписи дизайнер использовала два типа кисти.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p2"">Погрузиться в процесс создания можно по ссылке&nbsp;https://www.instagram.com/reel/CwaeWHYsdxM/</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_9416.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9418.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9417_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/rubashka-rassvet-nad-ozerom.html,M
Рубашка - Рассвет над озером,"12000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Белая рубашка из натурального&nbsp;хлопка, асимметричного кроя, с декоративными отлетными элементами.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p2"">Рубашка расписана вручную, в два приёма: чёрной и розовой краской. Для этой уникальной росписи дизайнер использовала два типа кисти.<span class=""Apple-converted-space"">&nbsp;</span></p>
<p class=""p2"">Погрузиться в процесс создания можно по ссылке&nbsp;https://www.instagram.com/reel/CwaeWHYsdxM/</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_9416.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9418.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_9417_1.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/rubashka-rassvet-nad-ozerom.html,L
Накидка - Дервиш,"52000,00.","
						<span class=""value"" itemprop=""description""><p class=""p1"">Эта уникальная вещь собрана из лоскутов&nbsp;хлопковой ткани, в ней отражается наша надежда на сохранение природных ресурсов и разумное потребление.</p>
<p class=""p2""><span class=""s2"">Различные кусочки денима&nbsp;и хлопка изящно заполнили этот&nbsp;художественный холст. </span></p>
<p class=""p2""><span class=""s2"">В начале мастера&nbsp;много часов собирали и склеивали&nbsp;лоскутки,&nbsp;затем&nbsp;вышивали&nbsp;изящные узоры-соединения.</span></p>
<p class=""p2""><span class=""s2"">После&nbsp;порезали ее и постирали, это и&nbsp;придало необыкновенную фактуру вещи.&nbsp;</span></p></span>
		","https://pirosmani.info/media/catalog/product/c/c/cc04d2bc-a0ca-44b9-864f-2e841eb9b6c1.jpeg, https://pirosmani.info/media/catalog/product/d/e/dec3bd84-231c-456e-b20d-34e9af6fedd1.jpeg, https://pirosmani.info/media/catalog/product/f/6/f666b3b5-ca17-45c9-a290-5d96d0d31400.jpeg, https://pirosmani.info/media/catalog/product/3/9/39b74398-9e1e-428e-8e66-592356b5c164.jpeg, https://pirosmani.info/media/catalog/product/b/1/b1b1f7cd-1154-406d-b1db-01be9ff1de65.jpeg, https://pirosmani.info/media/catalog/product/a/a/aae10b36-5c29-40c9-9dbc-454bfb9f28cf.jpeg, https://pirosmani.info/media/catalog/product/e/e/ee989b36-2730-4211-86e6-14f407c18fbd.jpeg, https://pirosmani.info/media/catalog/product/8/d/8d95eb88-2196-4a61-aed4-9f19708ef267.jpeg, https://pirosmani.info/media/catalog/product/7/d/7db60ebf-27fe-40d2-b631-f52c71cd8e15.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/nakidka-dervish.html,L
Чёрная Футболка - Новые формы ангелов,"4000,00.","
						<span class=""value"" itemprop=""description""><div class=""product attribute description"">
<p>Оригинальная художественная работа опубликована и продана в виде NFT в июле 2021.&nbsp;</p>
<p>Футболка выполнена из 100% хлопка.&nbsp;</p>
<p>&nbsp;</p>
<p>Образ несовершенного организма – незавершённый&nbsp;ангел.<br>Колкая скульптура, а внутри мягкое, теплое тело.<br>Эта скульптура, словно разбита в калейдоскопе и меняет узор при каждом вращении, она похожа на механизм или на смесь металла и живого организма.</p>
<p>Женя Малыгина&nbsp;</p>
<p><a href=""https://foundation.app/@jenya_malygina/foundation/40937"" target=""_blank"" rel=""noopener"">https://foundation.app/@jenya_malygina/foundation/40937</a></p>
</div>
</span>
		","https://pirosmani.info/media/catalog/product/2/7/27_04_2024_11_52_44.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_11_52_26.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_11_51_28.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_11_51_42.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_12_50_53.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_12_51_02.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/chjornaja-futbolka-novye-formy-angelov.html,M
Чёрная Футболка - Новые формы ангелов,"4000,00.","
						<span class=""value"" itemprop=""description""><div class=""product attribute description"">
<p>Оригинальная художественная работа опубликована и продана в виде NFT в июле 2021.&nbsp;</p>
<p>Футболка выполнена из 100% хлопка.&nbsp;</p>
<p>&nbsp;</p>
<p>Образ несовершенного организма – незавершённый&nbsp;ангел.<br>Колкая скульптура, а внутри мягкое, теплое тело.<br>Эта скульптура, словно разбита в калейдоскопе и меняет узор при каждом вращении, она похожа на механизм или на смесь металла и живого организма.</p>
<p>Женя Малыгина&nbsp;</p>
<p><a href=""https://foundation.app/@jenya_malygina/foundation/40937"" target=""_blank"" rel=""noopener"">https://foundation.app/@jenya_malygina/foundation/40937</a></p>
</div>
</span>
		","https://pirosmani.info/media/catalog/product/2/7/27_04_2024_11_52_44.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_11_52_26.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_11_51_28.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_11_51_42.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_12_50_53.jpg, https://pirosmani.info/media/catalog/product/2/7/27_04_2024_12_51_02.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/chjornaja-futbolka-novye-formy-angelov.html,XL
Шапка-шарф - Белый шум,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Шапка-шарф из футера с уникальным принтом</p></span>
		","https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_46_48.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_45_28.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/shapka-sharf-belyj-shum.html,M
Бомбер - «Капля хаоса»,"58000,00.","
						<span class=""value"" itemprop=""description""><p>Супер объёмный, хлопковый&nbsp;бомбер, на молнии. По бокам сделаны дополнительные молнии для увеличения объема, отделан декоративным, черным кантом. Расписан чёрной краской в эксклюзивной технике Жени Малыгиной "" капля в движении воздуха""</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_8656_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_8029.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_2665.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_2661.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_2655.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_2663.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_2671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_2674.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/bomber-kaplja-haosa.html,L
Мужская куртка - Серая грань,"54000,00.","
						<span class=""value"" itemprop=""description""><p>Оверсайз куртка из премиальной ткани (полушерсть), на молнии с декоративными кантами&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/5/1/519f7e33-055a-4969-a9dd-dd765e84f06f.jpeg, https://pirosmani.info/media/catalog/product/9/5/954bc759-a094-4219-b91e-35c642502975.jpeg, https://pirosmani.info/media/catalog/product/9/d/9dcdc50f-b5bd-4c67-9f71-a68e2260a170.jpeg, https://pirosmani.info/media/catalog/product/9/8/98e899a5-84ef-4425-874d-ce1f924daf0d.jpeg, https://pirosmani.info/media/catalog/product/c/9/c95bf7d8-5647-4d43-ac74-49f8761b63ca.jpeg, https://pirosmani.info/media/catalog/product/9/5/95dcc9b6-b1d8-497c-ba49-241794dd95ba.jpeg, https://pirosmani.info/media/catalog/product/5/c/5c69163e-b7a9-49b8-a185-c9aa60d2bb29.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskaja-kurtka-seraja-gran.html,M
Худи - SN1604,"10200,00.","
						<span class=""value"" itemprop=""description""><div class=""margin-top25 extra-link"">
<p><span data-sheets-value=""{"" data-sheets-userformat=""{"">Худи из футера с начесом, (хлопок 98%, эластан 2%), тёплое, с карманами и капюшоном. Уникальный принт, выполняется вручную.&nbsp;</span></p>
<p class=""p1""><strong>Для создания наших изделий мы используем тип трикотажного полотна с ""начесом"", самого высокого качества - пенье.</strong></p>
<p class=""p1"">Некоторые особенности характерные для натурального футера, с высоким содержанием хлопка и низким содержанием синтетики:</p>
<p class=""p1"">- До первой стирки допускается скатывание внутреннего ворса и ворсинки могут оставаться на предметах одежды.</p>
<p class=""p1"">- После первой стирки и с каждым последующим циклом возможность появления ворсинок снижается или пропадает вовсе.</p>
<p class=""p1"">- В целях поддержания изделия в более опрятном виде, после каждого цикла стирки мы рекомендуем производить расчёсывание внутреннего ворса щеткой средней жесткости в одном направлении.</p>
<p class=""p2"">- При стирке не рекомендуем смешивать с другими вещами</p>
</div>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_1633.JPG""></div>
</div>
</div>
</div></span>
		","https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_43_35_1.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_43_25.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_43_20.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_43_13.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_46_19.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-sn1604.html,XS
Худи - SN1604,"10200,00.","
						<span class=""value"" itemprop=""description""><div class=""margin-top25 extra-link"">
<p><span data-sheets-value=""{"" data-sheets-userformat=""{"">Худи из футера с начесом, (хлопок 98%, эластан 2%), тёплое, с карманами и капюшоном. Уникальный принт, выполняется вручную.&nbsp;</span></p>
<p class=""p1""><strong>Для создания наших изделий мы используем тип трикотажного полотна с ""начесом"", самого высокого качества - пенье.</strong></p>
<p class=""p1"">Некоторые особенности характерные для натурального футера, с высоким содержанием хлопка и низким содержанием синтетики:</p>
<p class=""p1"">- До первой стирки допускается скатывание внутреннего ворса и ворсинки могут оставаться на предметах одежды.</p>
<p class=""p1"">- После первой стирки и с каждым последующим циклом возможность появления ворсинок снижается или пропадает вовсе.</p>
<p class=""p1"">- В целях поддержания изделия в более опрятном виде, после каждого цикла стирки мы рекомендуем производить расчёсывание внутреннего ворса щеткой средней жесткости в одном направлении.</p>
<p class=""p2"">- При стирке не рекомендуем смешивать с другими вещами</p>
</div>
<div class=""margin-top25 extra-link""><a href=""#custom-size-guide"" data-backdrop=""false"" data-toggle=""modal"">Таблица размеров</a></div>
<div id=""custom-size-guide"" class=""modal fade"">
<div class=""modal-dialog"">
<div class=""modal-content""><button class=""close"" type=""button"" data-dismiss=""modal"">x</button>
<div class=""modal-body""><img class=""img-responsive"" src=""/media/wysiwyg/sizes_images/ru/IMG_1633.JPG""></div>
</div>
</div>
</div></span>
		","https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_43_35_1.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_43_25.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_43_20.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_43_13.jpg, https://pirosmani.info/media/catalog/product/1/1/11_12_2023_20_46_19.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-sn1604.html,S
